flight,date,start_time,end_time,wing_name,site_name,launch_name,launch_altitude,launch_orientation,landing_location,landing_altitude,vertical_drop,wind_speed,wind_direction,duration_hours,duration_minutes,total_airtime,max_altitude,altitude_gain,xc_miles,"comments",,,
1,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
2,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
3,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
4,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
5,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
6,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
7,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
8,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
9,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
10,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
11,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
12,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
13,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
14,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
15,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
16,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
17,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
18,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
19,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
20,4/1/07,,,,The Point,,,,,,0,,,,,0.00,,,,Training Flights with Santacroce,,,
21,4/28/07,,,Firebird Ignition,The Point,North,,,,,0,,,,1,0.02,,,,Way quick sled ride... no wind,,,
22,4/29/07,,,Firebird Ignition,The Point,South,,,,,0,,,,3,0.07,,,,Quick sled to the bottom,,,
23,4/29/07,,,Firebird Ignition,The Point,South,,,,,0,,,,5,0.15,,,,"Stayed up a bit longer, still had to land at the bottom.",,,
24,4/29/07,,,Firebird Ignition,The Point,South,,,,,0,,,,45,0.90,,,,Best flight to date!  First time staying up in my new wing.  Top landing.,,,
25,4/30/07,,,Firebird Ignition,"Providence, UT",Sunset Peak,,,Field by Hyde Park Elementary,4575,1800,,,,15,1.15,,,,Most awesome flight ever!  First Mountain flight.  Landed in field near church.,,,
26,5/8/07,,,Firebird Ignition,"Providence, UT",Sunset Peak,,,Field by Hyde Park Elementary,4575,1800,,,,10,1.32,,,,Couldn't make it to the Elementary School so I landed at the base of the mountain.  Had to walk to my car to get Mark who launched later and flew the distance,,,
27,5/19/07,,,Firebird Ignition,"Bear Lake, UT",South,,,,,3000,,,,15,1.57,,,,"Maneuvers Clinic boat tow... practiced deflations, b-line stall, big ears.",,,
28,5/19/07,,,Firebird Ignition,"Bear Lake, UT",South,,,,,3000,,,,15,1.82,,,,"Maneuvers Clinic boat tow... practiced b-line stall (better), wing-overs.",,,
29,5/25/07,,,Firebird Ignition,The Point,North,,,,,0,,,,2,1.85,,,,Quick sled ride to the bottom.,,,
30,5/25/07,,,Firebird Ignition,The Point,"North, top",,,,,0,,,,7,1.97,,,,"Low winds, so Chris took us up to the top launch.  Great flight",,,
31,5/26/07,,,Firebird Ignition,The Point,South,,,,,0,,,,7,2.08,,,,Low winds... struggled to stay up.  Was a bit dangerous as I was hanging too close to the hill.  ,,,
32,5/26/07,,,Firebird Ignition,The Point,South,,,,,,,,,10,2.25,,,,Stayed up for longer.  Jake took some pics as he was waiting for me.,,,
33,5/26/07,,,Firebird Ignition,The Point,South,,,,,0,,,,10,2.42,,,,Another good flight in lower winds.,,,
34,5/3/07,,,Firebird Ignition,The Point,North,,,,,0,10-15,NE,1,0,3.42,,,,"Awesome flight.  Unstable conditions due to virga, so I had to pull big ears to decrease alt several times, to be safe.  Top landing.",,,
35,5/23/07,,,Firebird Ignition,The Point,North,,,,,0,,,1,0,4.42,,,,"Great Flight!  Waited until winds were stable and had a perfect flight.  Benched up, but stayed far from the mountain.  Big ears with speed bar to descend and top land.",,,
